FID,month,year,lat,long,d15N,d13C,distMeters,nearLand,densityLar,densitySma,Ches,Del,Hud,LI,Nar,Bos
198,11,"2,000",43.31333333,-67.08166667,3.25,NA,131506.64,131345.16,5.00E-07,0,968369.92,823294.66,652226.08,527294.63,397935.39,334625.32
199,11,"2,005",41.63166667,-67.07,3.2,NA,238290.02,236325.21,8.00E-07,0,874772.6,741338.93,593674.79,476801.62,355715.28,330538.13
200,6,"2,001",43.43333333,-67.06833333,5.4,NA,120039.04,120210.99,5.00E-07,0,977008.12,831411.2,659265.77,534261.59,405130.05,339992.93
201,1,"2,004",42.41833333,-67.0095,0,NA,213619.43,213410.7,8.00E-07,0,919646.4,779967.19,619774.87,497406.1,369437.67,324336.57
202,11,"2,001",43.54333333,-67.00833333,1.2,NA,110659.82,110760.9,3.00E-07,0,988120.29,842172.82,669272.49,544244.9,415329.62,348867.02
203,1,"2,002",43.695,-66.965,5.9,NA,97354.03,97389.26,2.00E-07,0,1000967.69,854484.4,680465.4,555451.31,426937.1,358617.88
204,8,"2,004",43.96166667,-66.95166667,3.2,NA,73348.96,73282.11,1.00E-07,0,1019873.31,872419.43,696412.31,571579.05,444052,372589.62
205,11,"2,000",40.91333333,-66.835,-0.06,NA,265720.51,263421.52,1.00E-07,0,862512.08,737255.71,604734.9,495866.82,385443.25,377277.2
206,11,"2,002",40.82166667,-66.83166667,4.1,NA,267869.59,265593.45,1.00E-07,0,859422.12,735251.53,604743.24,497044.54,388209.32,382163.11
207,8,"2,001",41.85666667,-66.825,4.6,NA,258434.95,256328.21,5.00E-07,0,903825.37,769050.07,618303.24,499741.57,376243.24,344827.78
208,6,"2,004",44.11833333,-66.75,3.7,NA,62901.03,62889.92,0,0,1043325.24,895707.6,719281.93,594523.56,467256.16,395079.51
209,6,"2,004",41.85666667,-66.74666667,4.8,NA,264949.91,262783.46,4.00E-07,0,909649.63,775088.42,624625.8,506141.51,382694.55,351185.26
210,5,"2,001",41.66833333,-66.73666667,5.07,NA,265866.44,263648.76,3.00E-07,0,901540.97,768692,621529.85,504619.35,383201.89,356263.53
211,11,"2,003",41.34333333,-66.66666667,6,NA,275345.2,273062.1,1.00E-07,0,892619.43,763114.35,622208.4,508450.49,391155.95,371877.01
212,11,"2,001",41.99166667,-66.52333333,3.9,NA,275747.04,275487.29,2.00E-07,0,932760.82,797653.02,645771,526500.32,401953.55,367093.4
213,6,"2,002",43.74166667,-66.44833333,4.2,NA,111348.64,111337.46,0,0,1037572.25,891952.02,719385.53,594360.06,465390.23,398850.94
214,11,"2,001",41.39,-66.44666667,4,NA,292822.05,290356.56,0,0,911516.55,782109.03,640937.52,526818.76,408816.61,387649.98
215,8,"2,001",43.09833333,-66.41,2.9,NA,177375.23,177422.91,1.00E-07,0,1000455.61,858039.11,691775.69,567532.22,438019.67,381097.93
216,11,"2,000",41.91333333,-66.405,2.85,NA,288831.65,288535.99,1.00E-07,0,937826.05,803686.25,653479.1,534887.25,411116.7,377951.59
